1|Athletic awards|00737|Athletic award was given to the student for accomplishments in a co-curricular, or extra-curricular activity.||1.00||
2|Awarding of units of value|00738|Awarding of units of value was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||2.00||
3|Citizenship award/recognition|00740|Citizenship award/recognition was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||3.00||
4|Completion of requirement, but no units of value awarded|00741|Completion of requirement, but no units of value awarded  to the student for accomplishments in a co-curricular, or extra-curricular activity.||4.00||
5|Certificate|00742|Certificate was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||5.00||
6|Honor award|00743|Honor award was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||6.00||
7|Letter of commendation|02048|Letter of commendation was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||7.00||
8|Medals|00745|A medal was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||8.00||
9|Monogram/letter|00746|A monogram/letter was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||9.00||
10|Points|00747|Points were awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||10.00||
11|Promotion or advancement|00748|Promotion or advancement was awarded to the student for accomplishments in a co-curricular, or extra-curricular activity.||11.00||
12|Other|09999|The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity is in a category not yet defined in CEDS.||12.00||
