1|Administration building|13700|Administration building is specified as the principal use of a building, regardless of its original design.||.00||
2|Alternative school|13699|Alternative school is specified as the principal use of a building, regardless of its original design.||2.00||
3|Assembly building|02621|Assembly building is specified as the principal use of a building, regardless of its original design.||4.00||
4|Central kitchen building|02614|Central kitchen building is specified as the principal use of a building, regardless of its original design.||6.00||
5|Chapel building|02803|Chapel building is specified as the principal use of a building, regardless of its original design.||8.00||
6|Dormitory building|02619|Dormitory building is specified as the principal use of a building, regardless of its original design.||10.00||
7|Field house building|02616|Field house building is specified as the principal use of a building, regardless of its original design.||12.00||
8|Garage building|02613|Garage building is specified as the principal use of a building, regardless of its original design.||14.00||
9|Grade level school|13698|Grade level school is specified as the principal use of a building, regardless of its original design.||16.00||
10|Gymnasium building|02620|Gymnasium building is specified as the principal use of a building, regardless of its original design.||18.00||
11|Holding school|02806|Holding school is specified as the principal use of a building, regardless of its original design.||20.00||
12|Investment|02804|Investment is specified as the principal use of a building, regardless of its original design.||22.00||
13|Media production center building|02617|Media production center building is specified as the principal use of a building, regardless of its original design.||24.00||
14|Natatorium|02618|Natatorium is specified as the principal use of a building, regardless of its original design.||26.00||
15|Not in use|02805|Not in use is specified as the principal use of a building, regardless of its original design.||28.00||
16|Office building|02611|Office building is specified as the principal use of a building, regardless of its original design.||30.00||
17|Operations building|02802|Operations building is specified as the principal use of a building, regardless of its original design.||32.00||
18|School building|03106|School building is specified as the principal use of a building, regardless of its original design.||34.00||
19|Service center building|02610|Service center building is specified as the principal use of a building, regardless of its original design.||36.00||
20|Stadium building|02615|Stadium building is specified as the principal use of a building, regardless of its original design.||38.00||
21|Warehouse building|02612|Warehouse building is specified as the principal use of a building, regardless of its original design.||40.00||
22|Other|09999|Other is specified as the principal use of a building, regardless of its original design.||42.00||
