1|Agriculture, Food & Natural Resources|01|Agriculture, Food & Natural Resources is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||1.00||
2|Architecture & Construction|02|Architecture & Construction is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||3.00||
3|Arts, A/V Technology & Communications|03|Arts, A/V Technology & Communications is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||5.00||
4|Business Management & Administration|04|Business Management & Administration is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||7.00||
5|Education & Training|05|Education & Training is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||9.00||
6|Finance|06|Finance is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||11.00||
7|Government & Public Administration|07|Government & Public Administration is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||13.00||
8|Health Science|08|Health Science is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||15.00||
9|Hospitality & Tourism|09|Hospitality & Tourism is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||17.00||
10|Human Services|10|Human Services is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||19.00||
11|Information Technology|11|Information Technology is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||21.00||
12|Law, Public Safety, Corrections & Security|12|Law, Public Safety, Corrections & Security is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||23.00||
13|Manufacturing|13|Manufacturing is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||25.00||
14|Marketing|14|Marketing is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||27.00||
15|Science, Technology, Engineering & Mathematics|15|Science, Technology, Engineering & Mathematics is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||29.00||
16|Transportation, Distribution & Logistics|16|Transportation, Distribution & Logistics is specified as the career cluster that defines the industry or occupational focus for a career pathways program, plan of study, or course.||31.00||
