1|Achievement/proficiency level|00512|||1.00||
2|ACT score|00494|||2.00||
3|Age score|00490|||3.00||
4|C-scaled scores|00491|||4.00||
5|College Board examination scores|00492|||5.00||
6|Grade equivalent or grade-level indicator|00493|||6.00||
7|Graduation score|03473|||7.00||
8|Growth/value-added/indexing|03474|||8.00||
9|International Baccalaureate score|03475|||9.00||
10|Letter grade/mark|00144|||10.00||
11|Mastery level|00513|||11.00||
12|Normal curve equivalent|00497|||12.00||
13|Normalized standard score|00498|||13.00||
14|Number score|00499|||14.00||
15|Pass-fail|00500|||15.00||
16|Percentile|03476|||16.00||
17|Percentile rank|00502|||17.00||
18|Proficiency level|00503|||18.00||
19|Promotion score|03477|||19.00||
20|Ranking|00504|||20.00||
21|Ratio IQ's|00505|||21.00||
22|Raw score|03478|||22.00||
23|Scale score|03479|||23.00||
24|Standard age score|00506|||24.00||
25|Stanine score|00508|||25.00||
26|Sten score|00509|||26.00||
27|T-score|00510|||27.00||
28|Workplace readiness score|03480|||28.00||
29|Z-score|00511|||29.00||
30|Other|09999|||30.00||
